orgin,dist,len
2125,2125,0
2125,3186,78
2125,3302,94
2125,3962,120
2125,4065,60
2125,4077,108
3186,2125,81
3186,3186,0
3186,3302,81
3186,3962,84
3186,4065,22
3186,4077,55
3302,2125,94
3302,3186,83
3302,3302,0
3302,3962,71
3302,4065,31
3302,4077,55
3962,2125,117
3962,3186,85
3962,3302,72
3962,3962,0
3962,4065,68
3962,4077,73
4065,2125,60
4065,3186,23
4065,3302,32
4065,3962,65
4065,4065,0
4065,4077,43
4077,2125,107
4077,3186,60
4077,3302,52
4077,3962,72
4077,4065,44
4077,4077,0
