origin,dist,orig_latt,orig_long,dist_latt,dist_long,weight,distance,travel_type_id,duration
1251,1336,41.026726,28.981262,41.0042,28.9773,55,1648,1,5.5
1251,1338,41.026726,28.981262,41.0422,28.9485,432,13869,1,43.2
1251,1339,41.026726,28.981262,41.0479,28.9337,432,13869,1,43.2
1251,1341,41.026726,28.981262,41.0311,28.9391,432,13869,1,43.2
1251,1343,41.026726,28.981262,41.0062,28.9747,44,1333,1,4.4
1251,1346,41.026726,28.981262,41.026455,28.980856,0,0,1,0
1251,1350,41.026726,28.981262,41.0391,29.0004,2,60,1,0.2
1251,1360,41.026726,28.981262,41.027418,28.983277,2,57,1,0.2
1251,1397,41.026726,28.981262,41.0429,28.9348,432,13869,1,43.2
1251,1400,41.026726,28.981262,41.0096,28.9818,49,1455,1,4.9
1251,1401,41.026726,28.981262,41.0266,28.9844,6,189,1,0.6
1259,1249,41.01586,28.955911,41.024561,28.979458,396,11693,1,39.6
1259,1251,41.01586,28.955911,41.026726,28.981262,393,11616,1,39.3
1259,1259,41.01586,28.955911,41.01586,28.955911,0,0,1,0
1259,1261,41.01586,28.955911,41.037647,28.996266,391,11562,1,39.1
1259,1263,41.01586,28.955911,41.031442,28.936176,70,2253,1,7
1259,1264,41.01586,28.955911,41.0115,28.9833,440,12998,1,44
1259,1268,41.01586,28.955911,41.0258,28.9744,23,697,1,2.3
1259,1269,41.01586,28.955911,41.0426,29.0398,461,13629,1,46.1
1259,1271,41.01586,28.955911,41.01766,28.9688,395,11661,1,39.5
1259,1272,41.01586,28.955911,41.0161,28.9642,20,611,1,2
1259,1273,41.01586,28.955911,41.007915,28.979345,442,13071,1,44.2
1259,1275,41.01586,28.955911,41.0168,28.9719,403,11909,1,40.3
1259,1276,41.01586,28.955911,41.0117,28.9813,435,12868,1,43.5
1259,1280,41.01586,28.955911,41.0085,28.9801,442,13066,1,44.2
1259,1284,41.01586,28.955911,41.0053,28.9768,444,13144,1,44.4
1259,1286,41.01586,28.955911,41.037002,28.985092,24,714,1,2.4
1259,1291,41.01586,28.955911,41.0492,29.0111,387,11446,1,38.7
1259,1292,41.01586,28.955911,41.0848,29.0567,375,11082,1,37.5
1259,1293,41.01586,28.955911,41.0292,28.9611,17,551,1,1.7
1259,1294,41.01586,28.955911,40.9735,28.7844,15592,480145,1,1541.9
1259,1295,41.01586,28.955911,41.01903,28.95036,20,645,1,2
1259,1296,41.01586,28.955911,41.0047,28.97222,437,12933,1,43.7
1259,1297,41.01586,28.955911,41.0127,28.96448,400,11827,1,40
1259,1298,41.01586,28.955911,40.9643,28.7995,15594,480242,1,1542.2
1259,1299,41.01586,28.955911,41.0085,28.98108,444,13122,1,44.4
1259,1319,41.01586,28.955911,41.0211,29.0041,453,13384,1,45.3
1259,1320,41.01586,28.955911,41.0379,29.9553,3379,78902,1,335.1
1259,1326,41.01586,28.955911,41.0083,28.9778,438,12951,1,43.8
1259,1328,41.01586,28.955911,40.8766,29.0906,719,21612,1,71.9
1259,1329,41.01586,28.955911,41.0793,29.06509,407,12017,1,40.7
1259,1332,41.01586,28.955911,41.1197,29.0254,65,2085,1,6.5
1259,1334,41.01586,28.955911,41.0312,28.9391,70,2253,1,7
1259,1336,41.01586,28.955911,41.0042,28.9773,449,13264,1,44.9
1259,1338,41.01586,28.955911,41.0422,28.9485,70,2253,1,7
1259,1339,41.01586,28.955911,41.0479,28.9337,70,2253,1,7
1259,1341,41.01586,28.955911,41.0311,28.9391,70,2253,1,7
1259,1343,41.01586,28.955911,41.0062,28.9747,438,12950,1,43.8
1259,1346,41.01586,28.955911,41.026455,28.980856,393,11615,1,39.3
1259,1350,41.01586,28.955911,41.0391,29.0004,395,11676,1,39.5
